new_phibase_acc	old_phibase_acc	uniprot_acc	gene_name_phibase	gene_locus_id	gene_locus_id_type	pathogen_species_taxon_id	pathogen_taxon_id	pathogen_taxon_name_ncbi	host_species_taxon_id	host_species_name_ncbi	phi_disease_phenotype_id	phi_disease_phenotype_name	experiment_specification_ids	experiment_specification_names	pubmed_id	doi
PHI:I11	PHI:24	Q00903	Avenacinase gene	AAB09777	EMBL	29850	29850	Gaeumannomyces graminis	4564	Triticum	PHIPO:0000011	unaltered pathogenicity	ESO:0000001	gene disruption	7824933	
PHI:I12	PHI:24	Q00903	Avenacinase gene	AAB09777	EMBL	29850	29850	Gaeumannomyces graminis	4498	Avena sativa	PHIPO:0000007	loss of pathogenicity	ESO:0000001	gene disruption	7824933	
PHI:I13	PHI:25	Q258K5	AVRLM1	CAJ29326	EMBL	5022	5022	Leptosphaeria maculans	3708	Brassica napus	PHIEO:0000003	plant avirulence determinant effector	ESO:0000001	gene disruption	16556221	10.1111/j.1365-2958.2006.05076.x
PHI:I14	PHI:26	P28873	CaMDR1	CAA37820	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	7591094	
PHI:I15	PHI:27	Q00368	CAP20	AAA77678	EMBL	474922	474922	Colletotrichum gloeosporioides	4081	Solanum lycopersicum	PHIPO:0000007	loss of pathogenicity	ESO:0000001	gene disruption	7756829	
PHI:I16	PHI:27	Q00368	CAP20	AAA77678	EMBL	474922	474922	Colletotrichum gloeosporioides	3435	Persea americana	PHIPO:0000007	loss of pathogenicity	ESO:0000001	gene disruption	7756829	
PHI:I17	PHI:31	P30573	CHS3	BAA02707	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	7479842	
PHI:I18	PHI:33	P43076	PHR1	AAA68196	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	7591097	
PHI:I19	PHI:36	Q01143	CPKA	AAA93199	EMBL	318829	242507	Magnaporthe oryzae 70-15	4530	Oryza sativa	PHIPO:0000007	loss of pathogenicity	ESO:0000002	gene deletion	8535140	10.1105/tpc.7.11.1869
PHI:I20	PHI:37	Q99129	MYP1	AAC37439	EMBL	5270	237631	Ustilago maydis 521	4577	Zea mays	PHIPO:0000008	reduced virulence	ESO:0000002	gene deletion	8647387	
PHI:I21	PHI:38	Q02039	NIP1	AAA86496	EMBL	38038	38038	Rhynchosporium secalis	112509	Hordeum vulgare subsp. vulgare	PHIEO:0000003	plant avirulence determinant effector	ESO:0000010	other evidence	7556057	10.1074/jbc.M308304200
PHI:I22	PHI:39	Q6Q475	GP42 (PEP13)	AAS60096	EMBL	67593	67593	Phytophthora sojae	4043	Petroselinum crispum	PHIPO:0000011	unaltered pathogenicity	ESO:0000010	other evidence	7892267	
PHI:I23	PHI:40	P79068	PKS1	BAA18956	EMBL	5462	5462	Colletotrichum lagenaria	3659	Cucumis sativus	PHIPO:0000008	reduced virulence	ESO:0000007	gene complementation	7500937	
PHI:I24	PHI:41	Q01145	PWL1	AAA80239	EMBL	318829	318829	Magnaporthe oryzae	4530	Oryza sativa	PHIEO:0000003	plant avirulence determinant effector	ESO:0000007	gene complementation	8664503	
PHI:I25	PHI:42	Q01144	PWL2	AAA91019	EMBL	318829	318829	Magnaporthe oryzae	4530	Oryza sativa	PHIEO:0000003	plant avirulence determinant effector	ESO:0000007	gene complementation	7549480	10.1105/tpc.7.8.1221
PHI:I26	PHI:44	Q8NJV0	TRI5	AAM90953	EMBL	5518	449239	Fusarium graminearum GZ3639	4498	Avena sativa	PHIPO:0000011	unaltered pathogenicity	ESO:0000001;ESO:0000007	gene disruption;gene complementation	8589414	
PHI:I27	PHI:44	Q8NJV0	TRI5	AAM90953	EMBL	5518	449239	Fusarium graminearum GZ3639	4564	Triticum	PHIPO:0000011	unaltered pathogenicity	ESO:0000001;ESO:0000007	gene disruption;gene complementation	8589414	
PHI:I28	PHI:44	Q8NJV0	TRI5	AAM90953	EMBL	5518	449239	Fusarium graminearum GZ3639	4564	Triticum	PHIPO:0000011	unaltered pathogenicity	ESO:0000001;ESO:0000007	gene disruption;gene complementation	8589414	
PHI:I29	PHI:44	Q8NJV0	TRI5	AAM90953	EMBL	5518	449239	Fusarium graminearum GZ3639	4550	Secale cereale	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	8589414	
PHI:I30	PHI:44	Q8NJV0	TRI5	AAM90953	EMBL	5518	449239	Fusarium graminearum GZ3639	4577	Zea mays	PHIPO:0000011	unaltered pathogenicity	ESO:0000001;ESO:0000007	gene disruption;gene complementation	8589414	
PHI:I31	PHI:44	Q8NJV0	TRI5	AAM90953	EMBL	5518	449239	Fusarium graminearum GZ3639	4564	Triticum	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	8589414	
PHI:I32	PHI:44	Q8NJV0	TRI5	AAM90953	EMBL	5518	229533	Fusarium graminearum PH-1	3702	Arabidopsis thaliana	PHIPO:0000011	unaltered pathogenicity	ESO:0000002;ESO:0000005	gene deletion;biochemical analysis	18179606	10.1111/j.1469-8137.2007.02333.x
PHI:I33	PHI:47	Q00819	CAP64	AAB06581	EMBL	5207	5207	Cryptococcus neoformans	10090	Mus musculus	PHIPO:0000007	loss of pathogenicity	ESO:0000001;ESO:0000002;ESO:0000007	gene disruption;gene deletion;gene complementation	8675296	
PHI:I34	PHI:48	Q59J76	CnLAC1	BAD91825   	EMBL	5207	5207	Cryptococcus neoformans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	8760791	
PHI:I35	PHI:48	Q59J76	CnLAC1	BAD91825   	EMBL	5207	5207	Cryptococcus neoformans	6239	Caenorhabditis elegans	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	12438649	10.1073/pnas.232568599
PHI:I36	PHI:48	Q59J76	CnLAC1	BAD91825   	EMBL	5207	235443	Cryptococcus neoformans var. grubii H99	7137	Galleria mellonella	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	15972469	10.1128/IAI.73.7.3842-3850.2005
PHI:I37	PHI:49	Q00580	CPG1	AAA67706	EMBL	5116	660469	Cryphonectria parasitica EP155	134033	Castanea dentata	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	11038529	
PHI:I38	PHI:52	Q01168	NUT1	AAB03415	EMBL	318829	318829	Magnaporthe oryzae	4530	Oryza sativa	PHIPO:0000011	unaltered pathogenicity	ESO:0000001;ESO:0000007	gene disruption;gene complementation	8757395	
PHI:I39	PHI:52	Q01168	NUT1	AAB03415	EMBL	318829	318829	Magnaporthe oryzae	112509	Hordeum vulgare subsp. vulgare	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	11277427	
PHI:I40	PHI:53	Q6LD98	PDA1	AAP19639	EMBL	140110	140110	Nectria haematococca	3888	Pisum sativum	PHIPO:0000008	reduced virulence	ESO:0000010	other evidence	12925899	10.1007/s00294-003-0428-x
PHI:I41	PHI:55	Q92217	PKS1	AAB08104	EMBL	5016	5016	Bipolaris maydis	4577	Zea mays	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	8953776	10.1105/tpc.8.11.2139
PHI:I42	PHI:56	Q92246	PMK1	AAC49521	EMBL	318829	318829	Magnaporthe oryzae	4530	Oryza sativa	PHIPO:0000007	loss of pathogenicity	ESO:0000002;ESO:0000007	gene deletion;gene complementation	8946911	
PHI:I43	PHI:57	Q99101	PRF1	AAC32736	EMBL	5270	559306	Ustilago maydis FB1	4577	Zea mays	PHIPO:0000007	loss of pathogenicity	ESO:0000001	gene disruption	8612587	
PHI:I44	PHI:58	Q00455	SCD1	BAA13009	EMBL	5462	5462	Colletotrichum lagenaria	3659	Cucumis sativus	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	8953707	
PHI:I45	PHI:59	P87025	THR1	BAA18962	EMBL	5462	5462	Colletotrichum lagenaria	3659	Cucumis sativus	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	8672814	
PHI:I46	PHI:60	Q00357	TOXA	AAB36607	EMBL	5017	5017	Bipolaris zeicola	4577	Zea mays	PHIPO:0000122	pathogen death	ESO:0000001	gene disruption	8704997	
PHI:I47	PHI:61	P43070	BGL2	AAA21151	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	9043114	
PHI:I48	PHI:62	P52498	caRSR1	AAB81286	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	9308185	
PHI:I49	PHI:65	O14435	CPGB-1	AAC49838	EMBL	5116	660469	Cryphonectria parasitica EP155	134033	Castanea dentata	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	9353946	
PHI:I50	PHI:66	P43078	CPP1	AAC05307	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	9398674	
PHI:I51	PHI:67	P43068	MKC1	CAA54129	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	9009353	10.1111/j.1365-3083.2005.01657.x
PHI:I52	PHI:68	P0CY26	SAP1	AAA34368	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	9284116	
PHI:I53	PHI:68	P0CY26	SAP1	AAA34368	EMBL	5476	5476	Candida albicans	10141	Cavia porcellus	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	9284116	
PHI:I54	PHI:69	Q00298	CUTA	CAA93255	EMBL	40559	332648	Botrytis cinerea B05.10	13546	Gerbera	PHIPO:0000011	unaltered pathogenicity	ESO:0000001	gene disruption	9002270	
PHI:I55	PHI:69	Q00298	CUTA	CAA93255	EMBL	40559	332648	Botrytis cinerea B05.10	4081	Solanum lycopersicum	PHIPO:0000011	unaltered pathogenicity	ESO:0000001	gene disruption	9002270	
PHI:I56	PHI:71	Q00365	ECP2	CAA78401	EMBL	5499	5499	Passalora fulva	4081	Solanum lycopersicum	PHIEO:0000003	plant avirulence determinant effector	ESO:0000002	gene deletion	9671796	
PHI:I57	PHI:72	P0DJ06	SAP2	AAM21050	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	9284116	
PHI:I58	PHI:72	P0DJ06	SAP2	AAM21050	EMBL	5476	5476	Candida albicans	10141	Cavia porcellus	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	9284116	
PHI:I59	PHI:73	P0CY28	SAP3	AAA34372	EMBL	5476	5476	Candida albicans	10141	Cavia porcellus	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	9284116	
PHI:I60	PHI:73	P0CY28	SAP3	AAA34372	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	9284116	
PHI:I61	PHI:75	P0CN96	GPA1	AAD46575	EMBL	5207	235443	Cryptococcus neoformans var. grubii H99	7137	Galleria mellonella	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	15972469	10.1128/IAI.73.7.3842-3850.2005
PHI:I62	PHI:75	P0CN96	GPA1	AAD46575	EMBL	5207	235443	Cryptococcus neoformans var. grubii H99	9986	Oryctolagus cuniculus	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	9389652	
PHI:I63	PHI:75	P0CN96	GPA1	AAD46575	EMBL	5207	235443	Cryptococcus neoformans var. grubii H99	6239	Caenorhabditis elegans	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	12438649	10.1073/pnas.232568599
PHI:I64	PHI:76	P87032	GPA1	AAC49724	EMBL	5270	559306	Ustilago maydis FB1	4577	Zea mays	PHIPO:0000011	unaltered pathogenicity	ESO:0000001	gene disruption	9155019	
PHI:I65	PHI:77	P87033	GPA2	AAC49725	EMBL	5270	559306	Ustilago maydis FB1	4577	Zea mays	PHIPO:0000011	unaltered pathogenicity	ESO:0000001	gene disruption	9155019	
PHI:I66	PHI:78	P87034	GPA3	AAC49726	EMBL	5270	559306	Ustilago maydis FB1	4577	Zea mays	PHIPO:0000007	loss of pathogenicity	ESO:0000001	gene disruption	9155019	
PHI:I67	PHI:79	P87035	GPA4	AAC49727	EMBL	5270	559306	Ustilago maydis FB1	4577	Zea mays	PHIPO:0000011	unaltered pathogenicity	ESO:0000001	gene disruption	9155019	
PHI:I68	PHI:80	Q00313	TOP1 	AAB39507	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	9043115	
PHI:I69	PHI:81	O13328	MAC1	AAB66482	EMBL	318829	318829	Magnaporthe oryzae	4530	Oryza sativa	PHIPO:0000008	reduced virulence	ESO:0000002	gene deletion	9401122	10.1105/tpc.9.11.1973
PHI:I70	PHI:82	O13314	MAGA	AAB65425	EMBL	318829	318829	Magnaporthe oryzae	4530	Oryza sativa	PHIPO:0000011	unaltered pathogenicity	ESO:0000002	gene deletion	9390422	
PHI:I71	PHI:83	O13315	MAGB	AAB65426	EMBL	318829	318829	Magnaporthe oryzae	4530	Oryza sativa	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	9390422	
PHI:I72	PHI:84	O13316	MAGC	AAB65427	EMBL	318829	318829	Magnaporthe oryzae	4530	Oryza sativa	PHIPO:0000011	unaltered pathogenicity	ESO:0000002	gene deletion	14667055	
PHI:I73	PHI:85	O14427	CLA4	AAB68613	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	9259554	
PHI:I74	PHI:86;PHI:87	P43079;P43064	CPH1;EFG1	AAA64692;CAA83640	EMBL;EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000007	loss of pathogenicity	ESO:0000001;ESO:0000007	gene disruption;gene complementation	9298905	
PHI:I75	PHI:87	P43064	EFG1	CAA83640	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	15760450	10.1111/j.1462-5822.2004.00476.x
PHI:I76	PHI:88	P41749	PECA	AAA85279	EMBL	5059	5059	Aspergillus flavus	3635	Gossypium hirsutum	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	9293005	
PHI:I77	PHI:89	O42773	CNA1	AAB97372	EMBL	5207	5207	Cryptococcus neoformans	9986	Oryctolagus cuniculus	PHIPO:0000007	loss of pathogenicity	ESO:0000001;ESO:0000007	gene disruption;gene complementation	9184205	10.1093/emboj/16.10.2576
PHI:I78	PHI:95	P53707	CSP37	AAB66368	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	9244249	
PHI:I79	PHI:96	P43098	FAS2	AAA34345	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000007	loss of pathogenicity	ESO:0000001;ESO:0000007	gene disruption;gene complementation	9009352	
PHI:I80	PHI:96	P43098	FAS2	AAA34345	EMBL	5476	5476	Candida albicans	10114	Rattus	PHIPO:0000007	loss of pathogenicity	ESO:0000001;ESO:0000007	gene disruption;gene complementation	8828218	
PHI:I81	PHI:97	Q92215	TOXC	AAC62818	EMBL	5017	5017	Bipolaris zeicola	4577	Zea mays	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	9057326	
PHI:I82	PHI:98	O13394	umCHS5	AAB84284	EMBL	5270	559306	Ustilago maydis FB1	4577	Zea mays	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	9454647	
PHI:I83	PHI:99	Q8J0D1	ACR1	BAC41196	EMBL	318829	318829	Magnaporthe oryzae	4530	Oryza sativa	PHIPO:0000007	loss of pathogenicity	ESO:0000002;ESO:0000007	gene deletion;gene complementation	9742203	
PHI:I84	PHI:100	Q99079	ADR1	AAA75366	EMBL	5270	237631	Ustilago maydis 521	4577	Zea mays	PHIPO:0000007	loss of pathogenicity	ESO:0000001	gene disruption	9576944	
PHI:I85	PHI:101	O59897	ALB1	AAC39471	EMBL	746128	746128	Aspergillus fumigatus	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007;ESO:0000011	gene disruption;gene complementation;gene overexpression	9620950	
PHI:I86	PHI:103	O94100	BCPGA1	AAC64374	EMBL	40559	40559	Botrytis cinerea	4081	Solanum lycopersicum	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	9768518	
PHI:I87	PHI:103	O94100	BCPGA1	AAC64374	EMBL	40559	40559	Botrytis cinerea	4081	Solanum lycopersicum	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	9768518	
PHI:I88	PHI:103	O94100	BCPGA1	AAC64374	EMBL	40559	40559	Botrytis cinerea	3750	Malus domestica	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	9768518	
PHI:I89	PHI:104	Q00310	CaMNT1	CAA67930	EMBL	5476	5476	Candida albicans	10141	Cavia porcellus	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	9636208	
PHI:I90	PHI:104	Q00310	CaMNT1	CAA67930	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	9636208	10.1074/jbc.M909699199
PHI:I91	PHI:105	Q9UWF6	PLB1	AAC61890	EMBL	5476	237561	Candida albicans SC5314	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	9748287	
PHI:I92	PHI:106	O13289	CAT1	AAC39448	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	9573075	
PHI:I93	PHI:107	Q5A1D3	CEK1	EAK96519	EMBL	5476	237561	Candida albicans SC5314	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	9596738	
PHI:I94	PHI:109	P87248	CLK1	AAB61403	EMBL	290576	290576	Colletotrichum lindemuthianum	3885	Phaseolus vulgaris	PHIPO:0000008	reduced virulence	ESO:0000002	gene deletion	9450334	
PHI:I95	PHI:111	Q01905	INF1	AAB49807	EMBL	4787	4787	Phytophthora infestans	4113	Solanum tuberosum	PHIEO:0000003	plant avirulence determinant effector	ESO:0000001	gene disruption	9724689	
PHI:I96	PHI:113	O13352	MPS1	AAC63682	EMBL	318829	318829	Magnaporthe oryzae	4530	Oryza sativa	PHIPO:0000007	loss of pathogenicity	ESO:0000002;ESO:0000007	gene deletion;gene complementation	9770551	
PHI:I97	PHI:114	O00094	PG1	AAC05015	EMBL	5507	5507	Fusarium oxysporum	4081	Solanum lycopersicum	PHIPO:0000011	unaltered pathogenicity	ESO:0000007	gene complementation	9450333	
PHI:I98	PHI:115	Q00359	PGX1	AAC26146	EMBL	5017	5017	Bipolaris zeicola	4577	Zea mays	PHIPO:0000011	unaltered pathogenicity	ESO:0000001	gene disruption	9546185	
PHI:I99	PHI:116	O60026	PKSP	CAA76740	EMBL	746128	746128	Aspergillus fumigatus	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	9832321	
PHI:I100	PHI:120	O42620	PTH2	AAB88887	EMBL	318829	1274781	Magnaporthe oryzae 4091-5-8	4530	Oryza sativa	PHIPO:0000007	loss of pathogenicity	ESO:0000001;ESO:0000007	gene disruption;gene complementation	9574508	
PHI:I101	PHI:121	O42621	PTH3	AAB88888	EMBL	318829	1274781	Magnaporthe oryzae 4091-5-8	4530	Oryza sativa	PHIPO:0000007	loss of pathogenicity	ESO:0000001;ESO:0000007	gene disruption;gene complementation	9574508	
PHI:I102	PHI:122	O42624	PTH8	AAB88886	EMBL	318829	318829	Magnaporthe oryzae	4530	Oryza sativa	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	9574508	
PHI:I103	PHI:123	O42622	PTH9 (NTH1)	AAB88889	EMBL	318829	318829	Magnaporthe oryzae	4530	Oryza sativa	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	9574508	
PHI:I104	PHI:124	P53705	INT1	AAA96019	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	9478896	
PHI:I105	PHI:125;PHI:126;PHI:127	P43093;P43094;P43095	SAP4;SAP5;SAP6	AAA17877;CAA82923;CAA82924	EMBL;EMBL;EMBL	5476	237561	Candida albicans SC5314	10141	Cavia porcellus	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	9284117	
PHI:I106	PHI:125;PHI:126;PHI:127	P43093;P43094;P43095	SAP4;SAP5;SAP6	AAA17877;CAA82923;CAA82924	EMBL;EMBL;EMBL	5476	237561	Candida albicans SC5314	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	9284117	
PHI:I107	PHI:128	O14448	SUM1	AAC34140	EMBL	318829	318829	Magnaporthe oryzae	4530	Oryza sativa	PHIPO:0000011	unaltered pathogenicity	ESO:0000016	characterised gene mutation	9707535	
PHI:I108	PHI:129	O59900	CAP60	AAC39450	EMBL	5207	5207	Cryptococcus neoformans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	9573112	
PHI:I109	PHI:130	Q92410	TPS1	CAA69223	EMBL	5476	237561	Candida albicans SC5314	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	9683476	10.1002/yea.1029
PHI:I110	PHI:131	O93842	TRI12	AAD12756	EMBL	5514	5514	Fusarium sporotrichioides	4564	Triticum	PHIPO:0000011	unaltered pathogenicity	ESO:0000001	gene disruption	10485289	
PHI:I111	PHI:132	O13407	ABC1	AAB86640	EMBL	318829	318829	Magnaporthe oryzae	4530	Oryza sativa	PHIPO:0000008	reduced virulence	ESO:0000002	gene deletion	9927411	10.1093/emboj/18.3.512
PHI:I112	PHI:133	O93800	AKT1	BAA36588	EMBL	5599	5599	Alternaria alternata	23211	Pyrus communis	PHIPO:0000007	loss of pathogenicity	ESO:0000001	gene disruption	10432635	
PHI:I113	PHI:134	O93801	AKT2	BAA36589	EMBL	5599	5599	Alternaria alternata	23211	Pyrus communis	PHIPO:0000007	loss of pathogenicity	ESO:0000001	gene disruption	10432635	
PHI:I114	PHI:135	A4D962	BAD1 (WI-1)	AAA91036	EMBL	5039	5039	Blastomyces dermatitidis	10090	Mus musculus	PHIPO:0000007	loss of pathogenicity	ESO:0000002;ESO:0000007	gene deletion;gene complementation	10209038	
PHI:I115	PHI:136	Q5AHA0	CaHK1 (CHK1)	AAC39451	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	10417206	
PHI:I116	PHI:136	Q5AHA0	CaHK1 (CHK1)	AAC39451	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	10572127	
PHI:I117	PHI:136	Q5AHA0	CaHK1 (CHK1)	AAC39451	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000007	loss of pathogenicity	ESO:0000001;ESO:0000007	gene disruption;gene complementation	10417206	
PHI:I118	PHI:136	Q5AHA0	CaHK1 (CHK1)	AAC39451	EMBL	5476	5476	Candida albicans	10114	Rattus	PHIPO:0000011	unaltered pathogenicity	ESO:0000001;ESO:0000007	gene disruption;gene complementation	10417206	
PHI:I119	PHI:138	O42696	CaNIK1	BAA24952	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	10572127	
PHI:I120	PHI:139	Q7ZA26	CAP10	BAC76819	EMBL	5207	5207	Cryptococcus neoformans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	10482503	
PHI:I121	PHI:140	O42695	CaSLN1	BAA24951	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	10572127	
PHI:I122	PHI:141	O93886	CFP	AAC78076	EMBL	84275	84275	Cercospora kikuchii	3847	Glycine max	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	10517030	
